         time |     flux | uncertainty
120.782627591 | 401196.0 |     91.5036
120.783308713 | 401392.0 |     91.5234
120.783989835 | 401407.0 |     91.5255
120.784671056 | 401245.0 |     91.5076
120.785352178 | 401205.0 |     91.5057
  120.7860333 | 401311.0 |     91.5147
120.786714522 | 401266.0 |     91.5114
120.787395544 | 401223.0 |      91.508
120.788076666 | 401400.0 |      91.525
120.788757888 | 401361.0 |     91.5215
 120.78943901 | 401294.0 |     91.5129
120.790120131 | 401296.0 |     91.5154
120.790801253 | 401370.0 |     91.5216
120.791482475 | 401344.0 |     91.5173
120.792163597 | 401293.0 |     91.5124
120.792844619 | 401247.0 |     91.5102
120.793525841 | 401470.0 |     91.5311
120.794206963 | 401411.0 |      91.526
120.794888085 | 401302.0 |      91.514
120.795569307 | 401312.0 |     91.5162
120.796250428 | 401400.0 |     91.5258
 120.79693155 | 401356.0 |     91.5202
120.797612772 | 401356.0 |     91.5191
120.798293794 | 401319.0 |     91.5173
120.798974916 | 401560.0 |     91.5408
120.799656038 | 401330.0 |     91.5089
 120.80033726 | 401303.0 |     91.5153
120.801018382 | 401375.0 |     91.5237
120.801699504 | 401289.0 |     91.5132
120.802380725 | 401329.0 |     91.5168
120.803061847 | 401311.0 |     91.5191
120.803742869 | 401376.0 |       91.52
120.804424091 | 401348.0 |     91.5174
120.805105213 | 401247.0 |     91.5098
120.805786335 | 401196.0 |     91.5061
120.806467557 | 401397.0 |     91.5241
120.807148679 | 401345.0 |     91.5192
120.807829901 | 401358.0 |     91.5203
120.808511022 | 401468.0 |     91.5311
120.809192044 | 401439.0 |     91.5193
120.809873166 | 401292.0 |     91.5137
120.810554388 | 401384.0 |     91.5245
 120.81123551 | 401263.0 |     91.5106
120.811916732 | 401374.0 |     91.5222
120.812597854 | 401419.0 |     91.5266
120.813278976 | 401418.0 |     91.5269
120.813960198 | 401412.0 |     91.5259
120.814641219 | 401323.0 |     91.5185
120.815322341 | 401216.0 |      91.509
120.816003563 | 401406.0 |     91.5243
120.816684685 | 401312.0 |     91.5171
120.817365807 | 401252.0 |       91.51
120.818046929 | 401240.0 |     91.5094
120.818728151 | 401322.0 |     91.5161
120.819409273 | 401313.0 |     91.5162
120.820090395 | 401227.0 |      91.509
120.820771516 | 401345.0 |      91.518
120.821452638 | 401529.0 |     91.5375
 120.82213376 | 401287.0 |     91.5127
120.822814982 | 401172.0 |     91.5025
120.823496104 | 401346.0 |     91.5193
120.824177226 | 401388.0 |     91.5228
120.824858448 | 401389.0 |      91.524
 120.82553957 | 401339.0 |     91.5189
120.826220592 | 401499.0 |     91.5332
120.826901713 | 401298.0 |     91.5132
120.827582935 | 401348.0 |     91.5198
120.828264057 | 401204.0 |     91.5047
120.828945179 | 401401.0 |     91.5245
120.829626401 | 401408.0 |     91.5249
120.830307523 | 401294.0 |     91.5162
120.830988745 | 401406.0 |     91.5248
120.831669767 | 401286.0 |     91.5141
120.832350889 | 401213.0 |     91.5061
 120.83303201 | 401420.0 |     91.5264
120.833713232 | 401156.0 |     91.5018
120.834394354 | 401197.0 |     91.5044
120.835075476 | 401393.0 |     91.5252
120.835756698 | 401390.0 |     91.5228
 120.83643782 | 401381.0 |     91.5218
120.837118842 | 401260.0 |     91.5092
120.837800064 | 401309.0 |     91.5147
120.838481186 | 401261.0 |     91.5103
120.839162307 | 401068.0 |     91.4906
120.839843529 | 401285.0 |     91.5124
120.840524651 | 401252.0 |     91.5099
120.841205873 | 401234.0 |     91.5089
120.841886995 | 401554.0 |     91.5387
120.842568017 | 401523.0 |     91.5361
120.843249139 | 401236.0 |     91.5087
120.843930361 | 401479.0 |     91.5324
120.844611482 | 401314.0 |     91.5146
120.845292604 | 401468.0 |     91.5333
120.845973826 | 401328.0 |     91.5194
120.846654948 | 401143.0 |     91.4982
 120.84733607 | 401161.0 |     91.5005
120.848017192 | 401422.0 |     91.5268
120.848698314 | 401485.0 |     91.5321
120.849379436 | 401354.0 |     91.5204
120.850060658 | 401289.0 |     91.5144
120.850741779 | 401349.0 |     91.5189
